"X"	"Y"	"Typo"	"NO2"	"NOx"	"distance"	"Em_routier_150m"
"730875.67"	"2370477.4"	"U"	"14.43"	"78.61"	0	0
"729696.43"	"2371027.44"	"U"	"13.2"	"76.46"	0	0
"727146.73"	"2370554.39"	"U"	"13.72"	"102.23"	0	0
"726298.13"	"2370559.2"	"U"	"17.65"	"115.03"	0	0
"730343.85"	"2369170.07"	"U"	"14.41"	"111.95"	0	0
"729663.44"	"2369144.98"	"U"	"17.31"	"157.28"	0	0
"728753.43"	"2369262.07"	"U"	"16.12"	"142.17"	0	0
"727139.52"	2369201	"U"	"15.78"	"104.51"	0	0
"726365.73"	"2369053.1"	"U"	"16.45"	"107.14"	0	0
"725484.47"	"2369169.73"	"U"	"16.98"	"103.78"	0	0
"731356.97"	"2368524.71"	"U"	"12.01"	"106.28"	0	0
"730180.48"	"2368572.83"	"U"	"16.62"	"168.44"	0	0
"729762.19"	"2368207.93"	"U"	"18.72"	"232.07"	0	0
"729751.19"	"2368506.73"	"U"	"17.83"	"205.03"	0	0
"729420.78"	"2368094.4"	"U"	"20.7"	"247.53"	0	0
"729445.41"	"2368632.06"	"U"	"20.5"	"218.97"	0	0
729034	"2368133.35"	"U"	"22.89"	"250.24"	0	0
"728580.32"	"2368640.65"	"U"	"24.16"	"223.14"	0	0
"727869.2"	"2368192.24"	"U"	"16.46"	"200.33"	0	0
"727182.36"	"2368422.98"	"U"	"14.76"	"134.34"	0	0
"726514.78"	"2368363.63"	"U"	"13.72"	"132.8"	0	0
"732161.69"	"2368205.07"	"U"	"11.84"	"86.56"	0	0
"731210.9"	"2367518.01"	"U"	"11.84"	"100.08"	0	0
"730265.14"	"2367702.69"	"U"	"17.48"	"202.8"	0	0
729438	"2367295.1"	"U"	"20.63"	"230.98"	0	0
"729695.86"	"2367929.42"	"U"	"19.06"	"240.88"	0	0
"729295.22"	"2367804.43"	"U"	"22.05"	"253.07"	0	0
"729035.95"	"2367547.34"	"U"	"19.19"	"255.86"	0	0
"728964.46"	"2367926.79"	"U"	"23.55"	"253.65"	0	0
"728744.5"	"2367423.9"	"U"	"20.36"	"240.94"	0	0
"728620.76"	"2367850.6"	"U"	"20.35"	"253.21"	0	0
"727793.47"	"2367682.53"	"U"	"19.6"	"197.34"	0	0
"726338.12"	"2367539.32"	"U"	"14.92"	"115.81"	0	0
"730669.57"	"2366833.24"	"U"	"18.83"	"106.76"	0	0
"729857.51"	"2366498.13"	"U"	"17.16"	"179.64"	0	0
"728948.08"	"2366708.82"	"U"	"17.14"	"229.4"	0	0
"727921.67"	"2366767.71"	"U"	"19.69"	"186.65"	0	0
"727188.66"	"2366670.9"	"U"	"13.38"	"126.4"	0	0
"725493.3"	"2366547.85"	"U"	"11.32"	"76.66"	0	0
"724536.77"	"2366240.35"	"U"	"9.94"	"24.02"	0	0
"730771.42"	"2365828.71"	"U"	"14.43"	"81.74"	0	0
"729466.04"	"2365925.98"	"U"	"15.43"	"152.52"	0	0
"728888.73"	"2366156.95"	"U"	"17.3"	"178.23"	0	0
"728052.04"	"2366017.17"	"U"	"14.06"	"143.45"	0	0
"727178.12"	"2366135.87"	"U"	"14.06"	"123.23"	0	0
"730740.37"	"2365237.43"	"U"	"17.12"	"81.71"	0	0
"729783.62"	"2365019.06"	"U"	"15.6"	"104.89"	0	0
727837	"2365038.31"	"U"	"12.73"	"101.47"	0	0
"730721.92"	"2363429.67"	"U"	"14.63"	"63.11"	0	0
"729013.27"	"2363722.04"	"U"	"10.62"	"43.61"	0	0
"725916.16"	"2363060.65"	"U"	"11.99"	32	0	0
"731798.74"	"2361217.37"	"U"	"9.44"	"39.94"	0	0
"729175.38"	"2368417.94"	"U"	"17.86"	"235.78"	0	0
"728948.79"	"2367822.07"	"T"	"21.79"	"244.46"	93	"0.4"
"728969.86"	"2367842.79"	"T"	"22.5"	"243.98"	64	"0.46"
"728998.79"	"2367880.25"	"T"	"29.55"	"243.54"	18	"0.54"
"729024.99"	"2367890.62"	"T"	"34.21"	"243.11"	7	"0.54"
"729067.6"	"2367960.87"	"T"	"24.9"	"242.08"	87	"0.52"
"729119.39"	"2367975.59"	"T"	"22.82"	"242.01"	135	"1.74"
"727331.29"	"2367553.01"	"T"	"19.21"	"143.92"	86	"1.85"
"727347.32"	"2367515.98"	"T"	"19.7"	"144.85"	47	"2.16"
"727359.51"	"2367487.99"	"T"	"22.29"	"145.28"	17	"2.3"
"727347.4"	"2367457.8"	"T"	"25.94"	"144.38"	8	"2.32"
"727352.59"	"2367441.45"	"T"	"20.71"	"144.64"	26	"2.19"
"727362.24"	"2367413.96"	"T"	"17.66"	"144.58"	55	"2.22"
"727367.16"	"2367392.6"	"T"	"17.66"	"144.8"	77	"2.08"
"728351.36"	"2369478.62"	"T"	"30.04"	"104.54"	20	2
"728366.34"	"2369472.28"	"T"	"22.31"	"105.11"	32	"1.8"
"728421.97"	"2369473.51"	"T"	"17.63"	"105.01"	80	"1.67"
"728447.86"	"2369477.41"	"T"	"19.5"	"104.65"	107	"1.31"
"727268.67"	"2369204.57"	"T"	"18.69"	"101.31"	149	"2.07"
"727225.99"	"2369255.93"	"T"	"16.11"	"98.26"	82	"2.05"
"727191.12"	"2369289.65"	"T"	"21.29"	"95.7"	36	"2.03"
"727176.39"	"2369318.26"	"T"	26	"94.54"	5	2
"727144.14"	"2369334.24"	"T"	"19.73"	"93.06"	27	"1.73"
"727125.9"	"2369353.87"	"T"	"18.68"	"91.92"	52	"1.69"
"727077.17"	"2369376.17"	"T"	"15.07"	"89.79"	99	"1.43"
"726240.08"	"2371466.15"	"T"	"25.38"	"93.34"	157	"4.08"
"726282.3"	"2371434.8"	"T"	"31.05"	"94.11"	76	"5.2"
"726316.3"	"2371406.61"	"T"	"27.96"	"94.52"	39	"5.67"
"726424.54"	"2371341.1"	"T"	"22.83"	"94.91"	56	"4.85"
"726442.63"	"2371328.14"	"T"	"24.89"	"95.1"	75	"4.49"
"726505.57"	"2371299.47"	"T"	"24.57"	"94.85"	122	"2.3"
"726568.41"	"2371275.25"	"T"	"20.73"	"94.01"	165	"0.16"
"728340.91"	"2368142.41"	"P"	"35.71"	"216.25"	5	"2.32"
"728013.69"	"2367609.01"	"P"	"35.34"	"204.42"	5	"2.15"
"728941.42"	"2368041.29"	"P"	"35.33"	"239.58"	5	"0.59"
